Year,Mon,Week,Open,High,Low,Close,Volume
12,Apr,2,88.5875,89.7,87.975,89.5,165447192
12,Apr,3,90.042,90.764,88.534,89.112,182890499
12,Apr,4,85.552,86.854,83.08,84.532,244824434
12,Apr,5,84.806,85.236,83.438,84.36,194573152
12,Apr,6,85.4,85.49,83.29,83.43,126535038
12,Aug,1,87.2566666667,87.86,86.42,87.16,88471849
12,Aug,2,88.456,89.066,88.198,88.736,62720242
12,Aug,3,90.224,91.074,90.016,90.772,78702132
12,Aug,4,94.312,95.668,93.286,94.74,142443253
12,Aug,5,96.232,96.424,95.34,95.802,76905281
12,Dec,2,80.762,81.544,78.428,79.466,196590885
12,Dec,3,75.956,76.912,75.046,75.706,167239746
12,Dec,4,74.508,75.384,73.602,74.86,145608964
12,Dec,5,73.685,74.0875,72.95,73.495,80473732
12,Dec,6,72.93,76.49,72.71,76.02,164872785
12,Feb,1,65.3166666667,65.53,65.0033333333,65.2866666667,61975372
12,Feb,2,67.594,68.74,67.474,68.46,124464743
12,Feb,3,71.8,72.924,70.938,71.83,198279450
12,Feb,4,73.3825,73.9675,72.905,73.81,129511606
12,Feb,5,75.7533333333,76.74,75.1333333333,76.3633333333,174997386
12,Jan,2,59.0775,59.5875,58.935,59.4675,72009756
12,Jan,3,60.46,60.57,59.986,60.248,65321254
12,Jan,4,61.0275,61.225,60.5525,60.78,74712128
12,Jan,5,62.712,63.008,62.074,62.47,121803987
12,Jan,6,64.375,65.15,64.175,64.965,96405029
12,Jul,2,85.2575,86.2925,84.9575,85.99,96575804
12,Jul,3,86.646,87.202,85.694,86.584,105014121
12,Jul,4,87.056,87.466,86.324,86.822,84107256
12,Jul,5,83.742,84.646,82.806,83.994,137061405
12,Jul,6,85.3,86.51,85.035,86.125,105183323
12,Jun,1,81.31,81.81,80.07,80.14,130245094
12,Jun,2,81.126,81.876,80.34,81.444,103705760
12,Jun,3,82.256,82.62,81.272,81.864,100085510
12,Jun,4,83.058,83.93,82.488,83.392,88611187
12,Jun,5,82.094,82.544,81.414,82.01,74432300
12,Mar,1,78.03,78.215,77.235,77.83,139370388
12,Mar,2,76.708,77.42,75.452,76.608,167660967
12,Mar,3,81.97,82.976,80.99,82.31,225106414
12,Mar,4,85.682,86.418,84.64,85.856,170828182
12,Mar,5,87.026,87.772,86.196,87.098,159880011
12,May,1,83.3125,84.0675,82.34,82.685,122447501
12,May,2,80.98,81.96,80.39,81.258,108553188
12,May,3,78.782,79.386,77.22,77.656,141966766
12,May,4,80.058,81.446,78.844,80.47,136771993
12,May,5,81.9433333333,82.6433333333,81.1133333333,82.34,116819719
12,Nov,1,85.295,85.71,83.495,83.81,120102493
12,Nov,2,81.39,82.006,79.498,80.292,184195057
12,Nov,3,77.18,77.768,75.416,76.456,179149042
12,Nov,4,80.1425,81.385,79.06,80.7075,131998539
12,Nov,5,83.422,84.256,82.686,83.768,129547475
12,Oct,1,95.264,95.862,93.904,94.616,128030639
12,Oct,2,91.476,91.884,89.996,90.646,149651289
12,Oct,3,91.066,91.772,89.67,90.62,129614389
12,Oct,4,88.408,89.482,86.562,87.938,174357517
12,Oct,5,84.98,85.99,83.96,85.05,127500471
12,Sep,2,96.1625,96.8675,95.74,96.4975,89081228
12,Sep,3,96.564,97.308,95.352,96.21,145149236
12,Sep,4,100.03,100.32,99.532,100.072,100327435
12,Sep,5,96.766,97.824,95.552,96.512,143220331
13,Apr,1,61.69,62.258,60.838,61.188,101253513
13,Apr,2,61.348,61.862,60.902,61.516,77553995
13,Apr,3,58.908,59.444,57.516,58.042,142195657
13,Apr,4,57.462,58.814,57.08,58.166,160654985
13,Apr,5,61.11,62.775,60.86,62.35,166482736
13,Aug,1,65.27,65.69,64.995,65.66,60128824
13,Aug,2,66.256,66.688,65.648,66.146,73812229
13,Aug,3,69.21,70.656,68.744,70.162,142767100
13,Aug,4,72.17,72.584,71.532,71.86,83600885
13,Aug,5,70.528,71.372,70.012,70.324,78740867
13,Dec,2,80.58,81.192,79.868,80.298,104662790
13,Dec,3,80.478,81.048,79.872,80.236,77679687
13,Dec,4,78.652,79.29,78.164,78.762,91786542
13,Dec,5,81.065,81.305,80.415,80.7775,68672229
13,Dec,6,79.405,80.095,79.02,79.685,59613547
13,Feb,1,65.59,65.64,64.05,64.8,134867089
13,Feb,2,65.476,66.598,64.544,65.736,149095072
13,Feb,3,67.33,68.08,66.518,66.904,117456025
13,Feb,4,64.785,65.04,64.0025,64.4875,105619480
13,Feb,5,63.935,64.535,62.9375,63.4925,111496050
