,Year,Mon,Week,Open,High,Low,Close,Volume,apple,amazon,google,Facebook,microsoft,Day
0,2012,05,1,83.3125,84.0675,82.34,82.685,122447501,33,11,64,58,26,06
1,2012,05,2,80.98,81.96,80.39,81.258,108553188,32,11,67,58,26,13
2,2012,05,3,78.782,79.386,77.22,77.656,141966766,31,11,68,58,25,20
3,2012,05,4,80.058,81.446,78.844,80.47,136771993,31,11,64,59,24,27
4,2012,06,1,81.31,81.81,80.07,80.14,130245094,33,11,64,58,25,03
5,2012,06,2,81.126,81.876,80.34,81.444,103705760,51,12,63,57,25,10
6,2012,06,3,82.256,82.62,81.272,81.864,100085510,36,12,63,56,36,17
7,2012,06,4,83.058,83.93,82.488,83.392,88611187,34,12,68,55,26,24
8,2012,07,2,85.2575,86.2925,84.9575,85.99,96575804,34,12,68,57,26,08
9,2012,07,3,86.646,87.202,85.694,86.584,105014121,34,12,66,55,26,15
10,2012,07,4,87.056,87.466,86.324,86.822,84107256,36,12,67,55,25,22
11,2012,07,5,83.742,84.646,82.806,83.994,137061405,35,12,67,54,24,29
12,2012,08,1,87.2566666667,87.86,86.42,87.16,88471849,34,12,69,54,24,05
13,2012,08,2,88.456,89.066,88.198,88.736,62720242,34,12,70,56,26,12
14,2012,08,3,90.224,91.074,90.016,90.772,78702132,36,12,69,55,27,19
15,2012,08,4,94.312,95.668,93.286,94.74,142443253,37,13,70,56,28,26
16,2012,09,2,96.1625,96.8675,95.74,96.4975,89081228,88,14,70,55,28,09
17,2012,09,3,96.564,97.308,95.352,96.21,145149236,60,13,73,56,29,16
18,2012,09,4,100.03,100.32,99.532,100.072,100327435,54,13,73,56,28,23
19,2012,09,5,96.766,97.824,95.552,96.512,143220331,46,13,71,59,27,30
20,2012,10,1,95.264,95.862,93.904,94.616,128030639,42,13,72,67,27,07
21,2012,10,2,91.476,91.884,89.996,90.646,149651289,40,13,73,66,30,14
22,2012,10,3,91.066,91.772,89.67,90.62,129614389,64,14,73,68,34,21
23,2012,10,4,88.408,89.482,86.562,87.938,174357517,46,14,75,68,33,28
24,2012,11,1,85.295,85.71,83.495,83.81,120102493,43,14,75,67,31,04
25,2012,11,2,81.39,82.006,79.498,80.292,184195057,41,15,75,67,30,11
26,2012,11,3,77.18,77.768,75.416,76.456,179149042,51,19,75,68,29,18
27,2012,11,4,80.1425,81.385,79.06,80.7075,131998539,44,19,77,68,29,25
28,2012,12,2,80.762,81.544,78.428,79.466,196590885,45,19,78,70,27,09
29,2012,12,3,75.956,76.912,75.046,75.706,167239746,45,18,75,68,25,16
30,2012,12,4,74.508,75.384,73.602,74.86,145608964,57,23,83,76,25,23
31,2012,12,5,73.685,74.0875,72.95,73.495,80473732,44,17,75,67,24,30
32,2013,01,1,78.0333333333,78.2533333333,76.5966666667,77.0533333333,125649225,38,15,74,65,27,06
33,2013,01,2,74.956,75.432,73.914,74.566,115117784,35,14,76,67,27,13
34,2013,01,3,71.556,72.254,70.652,71.328,161427443,35,13,74,66,28,20
35,2013,01,4,68.7525,69.4575,67.38,68.185,249492120,36,13,75,65,28,27
36,2013,02,1,65.59,65.64,64.05,64.8,134867089,34,13,76,65,27,03
37,2013,02,2,65.476,66.598,64.544,65.736,149095072,34,12,74,65,27,10
38,2013,02,3,67.33,68.08,66.518,66.904,117456025,34,13,76,67,28,17
39,2013,02,4,64.785,65.04,64.0025,64.4875,105619480,33,12,77,66,27,24
40,2013,03,1,62.57,62.6,61.43,61.5,138111792,31,12,75,63,26,03
41,2013,03,2,61.086,61.888,60.396,61.118,127074103,31,12,75,65,26,10
42,2013,03,3,61.844,62.608,61.306,62.022,114689710,31,12,75,64,26,17
43,2013,03,4,64.662,65.604,64.072,65.056,110999415,32,12,73,66,24,24
44,2013,03,5,65.585,65.875,64.81,64.9825,98113685,31,12,75,66,25,31
45,2013,04,1,61.69,62.258,60.838,61.188,101253513,29,11,74,65,25,07
46,2013,04,2,61.348,61.862,60.902,61.516,77553995,28,11,73,64,24,14
47,2013,04,3,58.908,59.444,57.516,58.042,142195657,29,11,73,64,23,21
48,2013,04,4,57.462,58.814,57.08,58.166,160654985,28,12,72,64,23,28
49,2013,05,1,63.69,64.13,63.0566666667,63.5633333333,107558889,28,12,72,64,22,05
50,2013,05,2,65.642,66.172,64.852,65.512,109329446,28,11,73,63,23,12
51,2013,05,3,63.052,63.772,61.882,62.72,126869128,28,12,73,64,24,19
52,2013,05,4,62.598,63.758,62.248,63.178,99046991,28,12,73,65,22,26
53,2013,06,2,63.676,64.222,62.868,63.586,88874168,48,13,71,66,24,09
54,2013,06,3,62.512,63.044,61.68,62.134,77514605,32,12,70,67,22,16
55,2013,06,4,60.918,61.378,60.196,60.488,80216116,31,12,71,65,22,23
56,2013,06,5,57.362,57.798,56.426,56.96,103953451,30,12,70,66,21,30
57,2013,07,1,59.07,60.0075,58.7,59.495,86016885,30,12,71,64,21,07
58,2013,07,2,60.112,60.782,59.54,60.34,76926180,29,12,70,64,22,14
59,2013,07,3,61.364,61.808,60.92,61.276,57279413,31,12,71,64,21,21
